103.0, 16181, -65.0, -87.8, 3, 0.00, 270, 39, 398.4, 398.4, 398.4
100.0, 16360, -66.1, -88.1, 3, 0.00, 250, 34, 399.8, 399.8, 399.8
93.0, 16794, -69.0, -89.7, 4, 0.00, 235, 39, 402.3, 402.3, 402.3
85.4, 17304, -72.5, -91.5, 4, 0.00, 240, 39, 405.3, 405.3, 405.3
84.0, 17403, -71.9, -91.2, 4, 0.00, 240, 39, 408.3, 408.3, 408.3
76.4, 17967, -68.7, -89.7, 3, 0.00, 265, 25, 426.3, 426.3, 426.3
72.0, 18321, -69.5, -89.8, 4, 0.00, 280, 16, 431.9, 431.9, 431.9
70.0, 18490, -69.9, -89.9, 4, 0.00, 265, 18, 434.5, 434.5, 434.5
69.0, 18575, -70.4, -90.2, 4, 0.00, 260, 21, 435.2, 435.2, 435.2
65.4, 18892, -72.3, -91.3, 4, 0.00, 288, 18, 437.8, 437.8, 437.8
62.1, 19199, -69.9, -91.9, 3, 0.00, 314, 14, 449.6, 449.6, 449.6
62.0, 19208, -69.9, -91.9, 3, 0.00, 315, 14, 449.9, 449.9, 449.9
56.0, 19815, -69.8, -91.3, 3, 0.00, 310, 15, 463.3, 463.4, 463.3
53.0, 20143, -69.8, -91.0, 3, 0.00, 65, 7, 470.8, 470.8, 470.8
51.0, 20372, -69.7, -90.8, 3, 0.00, 160, 6, 476.1, 476.1, 476.1
50.0, 20490, -69.7, -90.7, 3, 0.00, 175, 6, 478.8, 478.9, 478.8
48.8, 20634, -70.3, -91.3, 3, 0.00, 211, 8, 480.7, 480.8, 480.7
48.0, 20732, -70.0, -91.2, 3, 0.00, 235, 9, 483.7, 483.8, 483.7
46.0, 20986, -69.2, -90.8, 3, 0.00, 250, 10, 491.5, 491.5, 491.5
44.2, 21223, -68.5, -90.5, 3, 0.00, 223, 6, 498.9, 498.9, 498.9
44.0, 21251, -68.2, -90.5, 3, 0.00, 220, 5, 500.3, 500.3, 500.3
42.0, 21531, -65.3, -90.3, 2, 0.00, 295, 5, 514.1, 514.1, 514.1
41.3, 21633, -64.3, -90.3, 2, 0.00, 321, 5, 519.1, 519.1, 519.1
40.0, 21829, -64.0, -90.0, 2, 0.00, 10, 4, 524.5, 524.6, 524.5
38.0, 22143, -63.6, -89.6, 2, 0.00, 315, 3, 533.4, 533.4, 533.4
36.0, 22474, -63.2, -89.2, 2, 0.00, 20, 5, 542.8, 542.8, 542.8
34.0, 22824, -62.7, -88.7, 2, 0.00, 15, 5, 552.9, 553.0, 552.9
33.9, 22842, -62.7, -88.7, 2, 0.00, 9, 5, 553.5, 553.5, 553.5
33.0, 23009, -61.8, -88.5, 2, 0.00, 310, 4, 560.1, 560.1, 560.1
31.0, 23397, -59.8, -88.0, 1, 0.01, 160, 7, 575.7, 575.7, 575.7
30.0, 23600, -58.7, -87.7, 1, 0.01, 180, 7, 584.0, 584.1, 584.0
29.2, 23770, -57.7, -87.7, 1, 0.01, 229, 11, 591.3, 591.4, 591.3
28.0, 24034, -57.8, -87.5, 1, 0.01, 305, 16, 598.1, 598.2, 598.1
27.0, 24264, -57.9, -87.4, 1, 0.01, 0, 20, 604.1, 604.2, 604.1
26.0, 24501, -58.0, -87.3, 1, 0.01, 5, 18, 610.4, 610.5, 610.4
24.8, 24799, -58.1, -87.1, 1, 0.01, 618.4, 618.5, 618.4
